0:0:0:0:0:0:0:1 - - [14/May/2024:20:34:52 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:34:55 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [14/May/2024:20:35:02 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 500 1393
0:0:0:0:0:0:0:1 - - [14/May/2024:20:35:29 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:35:30 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [14/May/2024:20:35:34 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 500 1393
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:37 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:39 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:41 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:41 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:44 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:46 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:37:46 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:38:59 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:00 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:01 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:01 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:02 +0700] "GET /demo/categories HTTP/1.1" 200 1325
